log
"DROP  Bounce_Count_6M              reason=near-deterministic IV (5.52) -> leakage/noise suspect, fails business-sense check"
DROP  DPD_30                       reason=IV below 0.02 (too weak)
DROP  DPD_60                       reason=IV below 0.02 (too weak)
DROP  Income_INR                   reason=IV below 0.02 (too weak)
DROP  Loan_Amount                  reason=IV below 0.02 (too weak)
DROP  Credit_Card_Utilization      reason=IV below 0.02 (too weak)
DROP  Oldest_Trade_Open_Months     reason=IV below 0.02 (too weak)
DROP  Worst_Current_Status         reason=IV below 0.02 (too weak)
DROP  Loan_Tenure_Months           reason=IV below 0.02 (too weak)
DROP  EMI_Amount                   reason=IV below 0.02 (too weak)
DROP  DPD_90                       reason=IV below 0.02 (too weak)
KEEP  Outstanding_Loans            note=non-monotonic raw trend fixed via 3 adjacent-bin merge(s) (coarse classing)
KEEP  Delinquency_12M              note=non-monotonic raw trend fixed via 1 adjacent-bin merge(s) (coarse classing)
KEEP  Interest_Rate_Pct            note=non-monotonic raw trend fixed via 3 adjacent-bin merge(s) (coarse classing)
KEEP  Total_Current_Balance        note=non-monotonic raw trend fixed via 3 adjacent-bin merge(s) (coarse classing)
KEEP  Transaction_Count_3M         note=non-monotonic raw trend fixed via 3 adjacent-bin merge(s) (coarse classing)
KEEP  Credit_Utilization_Ratio     note=non-monotonic raw trend fixed via 3 adjacent-bin merge(s) (coarse classing)
KEEP  Employment_Years             note=non-monotonic raw trend fixed via 3 adjacent-bin merge(s) (coarse classing)
KEEP  Avg_Balance_6M               note=non-monotonic raw trend fixed via 2 adjacent-bin merge(s) (coarse classing)
KEEP  No_of_Open_Accounts          note=non-monotonic raw trend fixed via 3 adjacent-bin merge(s) (coarse classing)
KEEP  Age                          note=non-monotonic raw trend fixed via 3 adjacent-bin merge(s) (coarse classing)
KEEP  Credit_History_Length        note=non-monotonic raw trend fixed via 3 adjacent-bin merge(s) (coarse classing)
KEEP  Behavior_Repayment_Score     note=non-monotonic raw trend fixed via 3 adjacent-bin merge(s) (coarse classing)
KEEP  Max_DPD_12M                  note=non-monotonic raw trend fixed via 1 adjacent-bin merge(s) (coarse classing)
"DROP  Missed_Payment_Count         reason=corr(Delinquency_12M,Missed_Payment_Count)=0.96>0.75, lower IV of the pair"
"DROP  Savings_Account_Balance      reason=corr(Avg_Balance_6M,Savings_Account_Balance)=0.99>0.75, lower IV of the pair"
FLAG  Marital_Status               reason=fair-lending watchlist; retained pending compliance sign-off (IV=0.065)
FLAG  Education_Level              reason=fair-lending watchlist; retained pending compliance sign-off (IV=0.065)
FLAG  Age                          reason=fair-lending watchlist; retained pending compliance sign-off (IV=0.029)
DROP  Total_Credit_Limit           reason=outside top-12 by IV (final scorecard parsimony cap)
DROP  Avg_Balance_6M               reason=outside top-12 by IV (final scorecard parsimony cap)
DROP  No_of_Open_Accounts          reason=outside top-12 by IV (final scorecard parsimony cap)
DROP  Behavior_Spending_Score      reason=outside top-12 by IV (final scorecard parsimony cap)
DROP  Age                          reason=outside top-12 by IV (final scorecard parsimony cap)
DROP  Credit_History_Length        reason=outside top-12 by IV (final scorecard parsimony cap)
DROP  Behavior_Repayment_Score     reason=outside top-12 by IV (final scorecard parsimony cap)
DROP  Max_DPD_12M                  reason=outside top-12 by IV (final scorecard parsimony cap)
